date,home_team,away_team,home_goals,away_goals
2024-10-06,FC Porto,Sporting Clube de Braga,2,1
2024-10-25,Casa Pia AC,CD Nacional,1,0
2024-10-25,CD Santa Clara,Gil Vicente FC,2,1
2024-10-26,GD Estoril Praia,FC Arouca,4,1
2024-10-26,Boavista FC,Moreirense FC,0,2
2024-10-26,FC Famalicão,Sporting Clube de Portugal,0,3
2024-10-27,Sporting Clube de Braga,SC Farense,2,0
2024-10-27,Sport Lisboa e Benfica,Rio Ave FC,5,0
2024-10-27,CF Estrela da Amadora,Vitória SC,2,2
2024-10-28,AVS,FC Porto,0,5
2024-11-01,Sporting Clube de Portugal,CF Estrela da Amadora,5,1
2024-11-02,Rio Ave FC,Casa Pia AC,2,2
2024-11-02,SC Farense,Sport Lisboa e Benfica,1,2
2024-11-02,Gil Vicente FC,Boavista FC,1,2
2024-11-03,AVS,FC Famalicão,2,3
2024-11-03,FC Arouca,Sporting Clube de Braga,1,2
2024-11-03,Vitória SC,Moreirense FC,1,0
2024-11-03,FC Porto,GD Estoril Praia,4,0
2024-11-04,CD Nacional,CD Santa Clara,2,0
2024-11-08,Moreirense FC,Gil Vicente FC,3,2
2024-11-09,Casa Pia AC,SC Farense,1,1
2024-11-09,GD Estoril Praia,AVS,0,0
2024-11-09,FC Famalicão,FC Arouca,0,0
2024-11-09,Boavista FC,Rio Ave FC,0,2
2024-11-10,CF Estrela da Amadora,CD Nacional,2,0
2024-11-10,CD Santa Clara,Vitória SC,1,0
2024-11-10,Sporting Clube de Braga,Sporting Clube de Portugal,2,4
2024-11-10,Sport Lisboa e Benfica,FC Porto,4,1
2024-11-29,SC Farense,CF Estrela da Amadora,1,0
2024-11-30,Rio Ave FC,Moreirense FC,3,2
2024-11-30,CD Nacional,Boavista FC,0,0
2024-11-30,Sporting Clube de Portugal,CD Santa Clara,0,1
2024-12-01,GD Estoril Praia,FC Famalicão,2,1
2024-12-01,FC Arouca,Sport Lisboa e Benfica,0,2
2024-12-01,AVS,Sporting Clube de Braga,0,1
2024-12-02,Vitória SC,Gil Vicente FC,4,0
2024-12-02,FC Porto,Casa Pia AC,2,0
2024-12-05,Moreirense FC,Sporting Clube de Portugal,2,1
2024-12-06,Sporting Clube de Braga,GD Estoril Praia,2,2
2024-12-07,Gil Vicente FC,CD Nacional,2,1
2024-12-07,Sport Lisboa e Benfica,Vitória SC,1,0
2024-12-07,CD Santa Clara,Rio Ave FC,1,0
2024-12-07,FC Famalicão,FC Porto,1,1
2024-12-08,Boavista FC,SC Farense,1,1
2024-12-08,Casa Pia AC,AVS,1,1
2024-12-09,CF Estrela da Amadora,FC Arouca,2,1
